english,bsk_nastaliq,transliteration,urdu,pos,category,source,notes
body,یدیم,idim,جسم,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: 1st singular m.
head,جاتیس,jatis,سر,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
hair,گوجانگ,gujang,بال,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
face,یسکیل,iskil,چہرہ,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
eye,یلتشین,iltshin,آنکھ,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
ear,یلتومال,iltumal,کان,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
nose,یموپوش,imupush,ناک,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
mouth,اخات,akhat,منہ,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
tooth,یمے,ime,دانت,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
tongue,جووموس,juumus,زبان,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
chest,یندیل,indil,سینہ,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
belly,جوول,juul,پیٹ,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
arm,یشاک,ishak,بازو,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
elbow,یسوسون,isusun,کہنی,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
palm of hand,یتاتاس,itatas,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
finger,ےمیش,emish,انگلی,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
fingernail,جووری,juuri,ناخن,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
leg,باتسین,batsin,ٹانگ,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
skin,بات,bat,جلد,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
bone,تین,tin,ہڈی,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
blood,مولتان,multan,خون,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
urine,ہاراش,harash,پیشاب,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
feces,غوراش,ghurash,فضلہ,noun,body,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
village,گا,gaũ,گاؤں,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
house,ہا,ha,گھر,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
roof,تےش,tesh,چھت,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
door,ہینگ,hing,دروازہ,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
firewood,گاشیل,gashil,لکڑی,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
broom,پہوپوس,phopus,جھاڑو,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
mortar,تانوس,tanus,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: bowl
pestle,جاتکوس,jatkus,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
hammer,دواقو,dwaqo,ہتھوڑا,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
knife,تشہور,tshhur,چھری,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
pocketknife,تشاقو,tshaqu,جیب چاقو,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
axe,گانگی,gangi,کلہاڑی,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
rope,گاشک,gashk,رسی,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
thread,سار,sar,دھاگہ,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
needle,سےل,sel,سوئی,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
cloth,پاتشی,patshi,کپڑا,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
ring,بوروندو,burondo,انگوٹھی,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
sun,سا,sa,سورج,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
moon,ہالانتس,halants,چاند,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
sky,اسمان,asmaan,آسمان,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
star,اسیی,asii,ستارہ,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
rain,ہارالت,haralt,بارش,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
water,تشیل,tshil,پانی,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
river,سیندا,sinda,دریا,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
cloud,قورونتش,qurontsh,بادل,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
lightning,لام,lam,بجلی,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
rainbow,نیرونان,nironaan,قوس قزح,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
wind,تیش,tish,ہوا,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
stone,دان,dan,پتھر,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
path,گان,gan,راستہ,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
sand,ساو,sao,ریت,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
fire,پہو,phu,آگ,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
smoke,تہاس,thas,دھواں,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
ash,پہےتینگ,pheting,راکھ,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
mud,تشیلغیش,tshilghish,کیچڑ,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
mud,توک,tok,کیچڑ,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
dust,تیک,tik,دھول,noun,nature,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
gold,غانیش,ghanish,سونا,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
tree,توم,tom,درخت,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
leaf,تاپ,tap,پتہ,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
root,تسیریش,tsirish,جڑ,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
thorn,تشہاش,tshhash,کانٹا,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
flower,اسقور,asqur,پھول,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
fruit,پہالپہوت,phalphut,پھل,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
mango,ام,am,آم,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
banana,کےلا,kela,کیلا,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
wheat,گور,gur,گندم,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
millet,بار,bar,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
rice,براس,bras,چاول,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
potato,الو,alu,آلو,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
eggplant,بےنگگان,benggan,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
groundnut,مونگپہالی,mungphali,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
chili,ماروتشو,marutsho,مرچ,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
turmeric,سینگور,singur,ہلدی,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
garlic,بوقپا,buqpa,لہسن,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
onion,غاشو,ghashu,پیاز,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
cauliflower,پہول گوبی,phul gobi,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
tomato,بالوگان,balogan,ٹماٹر,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
cabbage,گوبی,gobi,بند گوبھی,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
oil,دےل,del,تیل,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: cooking
salt,باجو,baju,نمک,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
meat,تشہاپ,tshhap,گوشت,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
fat,بیس,bis,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: part of meat
fish,تشہومو,tshhumo,مچھلی,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
chicken,قارقاموتس,qarqaamuts,مرغی,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: hen
one egg,تینگان,tingan,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
cow,بوا,bua,گائے,noun,animals,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
buffalo,ہیشماہییش,hishmahiish,بھینس,noun,animals,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
milk,مامو,mamu,دودھ,noun,food,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
horn,تور,tur,سینگ,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
tail,یسومال,isumal,دم,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
goat,تشییر,tshiir,بکری,noun,animals,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
dog,ہوک,huk,کتا,noun,animals,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
snake,تول,tol,سانپ,noun,animals,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
monkey,شےدی,shedi,بندر,noun,animals,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
mosquito,شیکار,shikar,مچھر,noun,animals,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
ant,خون,khun,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
spider,پہیران,phiran,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
name,ییک,iik,,noun,greetings/basic,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
man,ہیر,hir,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
woman,گوس,gus,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
child,گیجاس,gijaas,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
father,جو,ju,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
mother,یمی,imi,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
older brother,وجوم ےتشو,ujum etsho,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
younger brother,دژوت ےتشو,dzhot etsho,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
older sister,وجوم جاس,ujum jas,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
son,یی,ii,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
daughter,ےی,ei,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
husband,مووجار,muujar,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
wife,جووس,juus,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
boy,ہیلےس,hiles,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
girl,داسین,dasin,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
day,گونتس,gunts,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
night,تہاپ,thap,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
morning,تشوردینے,tshordine,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
noon,دوغوج,dughuj,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
evening,شام,shaam,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
yesterday,سابوور,sabuur,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
today,خوولتو,khuulto,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
tomorrow,دژیمالے,dzhimale,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
week,التانگوتس,altaanguts,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
month,ہیسا,hisa,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
year,جول,jool,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
year,دےن,den,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
old,نین,neen,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: thing
new,تہوش,thosh,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
good,شوا,shua,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
bad,غونیقیش,ghuniqish,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
wet,ہاجوم,hajum,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
dry,جووروم,juurum,خشک,adjective,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
long,غوسانوم,ghosanum,لمبا,adjective,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: horizontal
short,خوت,khut,چھوٹا,adjective,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
hot,گاروروم,garurum,گرم,adjective,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
cold,تشہاغوروم,tshhaghurum,ٹھنڈا,adjective,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
right,دورپا,dorpa,دائیں,adverb/preposition,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
left,غارپا,gharpa,بائیں,adverb/preposition,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
near,اسییر,asiir,قریب,adverb/preposition,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
far,ماتہان,mathan,دور,adverb/preposition,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
big,وجوم,ujum,بڑا,adjective,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
small,جوت,jot,چھوٹا,adjective,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
heavy,تشووم,tshuum,,adjective,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
light,ہومالکوم,humalkum,,adjective,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
above,جاتے,jate,اوپر,adverb/preposition,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
below,جارے,jaare,نیچے,adverb/preposition,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
white,بوروم,burum,سفید,adjective,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
black,ماتوم,matum,کالا,adjective,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
red,باردوم,baardum,سرخ,adjective,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
one,ہان,han,ایک,noun,numbers,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
two,التا,alta,دو,noun,numbers,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; form note: m
three,وسکو,usko,تین,noun,numbers,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; form note: m
four,والتو,waalto,چار,noun,numbers,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; form note: m
five,تشوندو,tshundo,پانچ,noun,numbers,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; form note: m
six,میشیندو,mishindo,چھ,noun,numbers,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; form note: m
seven,تہالو,thalo,سات,noun,numbers,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; form note: m
eight,التامبو,altambo,آٹھ,noun,numbers,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; form note: m
nine,ہونتشو,huntsho,نو,noun,numbers,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; form note: m
ten,تورومو,toorumo,دس,noun,numbers,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
eleven,تورما ہان,turma han,گیارہ,noun,numbers,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
twelve,تورما التا,turma alta,بارہ,noun,numbers,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
twenty,التار,altar,بیس,noun,numbers,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
one hundred,تہا,tha,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
who,مےنان,menan,کون,pronoun/question,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
what,بےسان,besan,کیا,pronoun/question,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
where,امولو,amulo,کہاں,pronoun/question,travel,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
when,بےشال,beshal,کب,pronoun/question,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
how much,بےاروم,bearum,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
which,امیس,amis,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
this,گوسے,guse,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
that,یسے,ise,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
these,گوتسے,gutse,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
those,یتسے,itse,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
different,تہومیشو,thumisho,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
whole,تازا,taza,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: unbroken
few,کامان,kaman,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
many,بوت,but,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
all,وجون,ujoon,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
eat,شی,shi,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
bites,تشات ےتشیبی,tshat etshibi,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: the dog
are hungry,تشہامینے با,tshhamine ba,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: you
drink,مینے,mine,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
thirsty,گووروا,guurwa,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: you are
sleep,گوجےن,gojen,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
lay down,دژیک مانے,dzheek mane,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
sit,ورو,uru,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
give,و,oo,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
burn,ےسقول,esqul,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: transitive
died,ییریمی,iirimi,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: he
beat,دےلی,deli,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
flies,دووالجیبی,duwaljibi,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration; description: the bird
walk,گوتشار,gutshar,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
run,گارتس,gaarts,بھاگو,verb/imperative,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
go,نی,ni,جاؤ,verb/imperative,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
come,دژو,dzhu,آؤ,verb/imperative,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
speak,تشاغا ے,tshagha e,بولو,verb/imperative,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
listen! / hear,دوکوجےل,dukojel,,noun,general,Wiktionary comparative vocabulary list,dialect=Hussainabad; Nastaliq is heuristic from IPA/transliteration
